datetime,open,high,low,close,volume
2024-04-18T09:00:00Z,423.063111698,423.448334115,422.26303437,422.470461825,65403
2024-04-18T10:00:00Z,422.421074336,422.648256787,421.42344705,422.114871901,52106
2024-04-18T11:00:00Z,422.055606914,422.391441842,421.601242012,422.203769382,58833
2024-04-18T12:00:00Z,422.144504395,422.490216821,421.838301961,422.134626897,155838
2024-04-18T13:00:00Z,422.124749399,422.193891884,421.067857126,421.383937058,636054
2024-04-18T13:30:00Z,421.522222029,421.779432073,421.176509603,421.206142096,174074
2024-04-18T14:30:00Z,421.265407084,421.383937058,418.341667711,420.77153219,10861482
2024-04-18T15:30:00Z,420.791287185,422.993969213,420.756715943,422.030913169,5920654
2024-04-18T16:30:00Z,422.035851918,422.253156872,421.166632105,421.551261872,3773489
2024-04-18T17:30:00Z,421.551854522,421.611119509,418.015710281,419.202392876,5561077
2024-04-18T18:30:00Z,419.210887525,419.41831498,417.65024286,418.618237652,4991263
2024-04-18T19:30:00Z,418.62811515,419.275091261,417.679875353,418.588605158,5668286
2024-04-18T20:00:00Z,418.618237652,419.339294997,417.828037821,418.223137737,6336628
2024-04-18T21:00:00Z,418.213260239,419.596109942,417.344040425,417.818160324,1997051
2024-04-18T22:00:00Z,417.798405328,417.867152713,417.620610366,417.778650332,138100
2024-04-18T23:00:00Z,417.808282826,418.11448526,417.620610366,417.689654076,65026
2024-04-19T00:00:00Z,417.660120357,417.669997855,416.603228084,416.850165531,94101
2024-04-19T09:00:00Z,415.556213309,416.316780646,414.538831027,415.042583419,161535
2024-04-19T10:00:00Z,415.111725904,416.306903148,415.091970909,415.615478296,149268
2024-04-19T11:00:00Z,415.684620781,416.356290637,415.121603402,415.803150756,101790
2024-04-19T12:00:00Z,415.901925735,417.372685169,415.595723301,417.285763188,507836
2024-04-19T13:00:00Z,417.304530434,418.410810196,416.781023046,417.620610366,773204
2024-04-19T13:30:00Z,417.561345379,417.719385345,416.415555625,416.998327999,607962
2024-04-19T14:30:00Z,417.047715489,417.571222877,413.393041273,414.241222016,13516653
2024-04-19T15:30:00Z,414.222751095,415.31915336,412.909043877,413.225123809,10114569
2024-04-19T16:30:00Z,413.205368814,413.669611214,410.212486956,410.251996947,9179795
2024-04-19T17:30:00Z,410.271751943,412.810268898,410.143344471,411.49656168,7980796
2024-04-19T18:30:00Z,411.486684182,413.393041273,410.291506939,410.291506939,6522598
2024-04-19T19:30:00Z,410.291506939,410.795259331,408.197477388,409.590204589,11039864
2024-04-19T20:00:00Z,409.590204589,409.906284522,408.009804929,409.570449594,12807090
2024-04-19T21:00:00Z,409.600082087,409.718612062,409.037064708,409.521062104,2394781
2024-04-19T22:00:00Z,409.530939602,409.570449594,409.125962189,409.313634649,92464
2024-04-19T23:00:00Z,409.323512147,409.363022138,408.987677219,408.990344143,46229
2024-04-20T00:00:00Z,408.987677219,409.02718721,408.730862274,408.780249763,65077
2024-04-22T09:00:00Z,411.466929187,411.802764115,410.933544301,411.585459161,78773
2024-04-22T10:00:00Z,411.575581663,412.464556473,411.555826668,412.336149,54382
2024-04-22T11:00:00Z,412.405291485,412.830023894,411.901539093,411.990436574,73143
2024-04-22T12:00:00Z,411.990436574,412.464556473,411.457051689,411.990436574,374728
2024-04-22T13:00:00Z,411.980559076,412.583086447,411.229869238,412.375658992,576205
2024-04-22T13:30:00Z,412.424058731,412.583086447,412.128721545,412.47443397,267984
2024-04-22T14:30:00Z,412.19786403,413.205368814,409.659347075,409.91616202,11867455
2024-04-22T15:30:00Z,409.911223271,410.953299297,408.869147244,410.232241952,6686217
2024-04-22T16:30:00Z,410.251996947,412.375560217,410.143344471,411.481745433,5655514
2024-04-22T17:30:00Z,411.486684182,413.532215218,410.928704327,413.532215218,3786483
2024-04-22T18:30:00Z,413.511571248,415.78339576,413.472061256,415.556213309,5424407
2024-04-22T19:30:00Z,415.571029556,416.020455709,414.312932651,414.636321931,5242358
2024-04-22T20:00:00Z,414.61785101,414.73628221,413.106593835,413.68936621,5593606
2024-04-22T21:00:00Z,413.699243708,413.807896184,413.076961341,413.541203741,1949683
2024-04-22T22:00:00Z,413.531326244,414.035078635,413.521448746,413.857283674,156766
2024-04-22T23:00:00Z,413.82765118,414.183241104,413.225123809,413.373286278,107360
2024-04-23T00:00:00Z,413.452306261,413.50169375,412.257129017,412.978186362,83607
2024-04-23T09:00:00Z,414.123976116,414.914175947,413.393041273,414.519076032,90549
2024-04-23T10:00:00Z,414.47956604,415.032705921,414.232628593,414.370913563,35154
2024-04-23T11:00:00Z,414.34128107,415.338908356,414.272138585,415.141358398,88523
2024-04-23T12:00:00Z,415.240133377,415.654988288,414.627728508,414.756135981,209087
2024-04-23T13:00:00Z,414.80552347,415.595723301,414.01532364,415.447560832,441852
2024-04-23T13:30:00Z,415.447560832,415.822905752,415.250010875,415.753763267,201165
