datetime,open,high,low,close,volume
2020-01-02T10:00:00Z,14.263,14.263,14.263,14.263,0
2020-01-02T11:00:00Z,14.263,14.263,14.263,14.263,0
2020-01-02T12:00:00Z,14.263,14.263,14.263,14.263,0
2020-01-02T13:00:00Z,14.263,14.263,14.263,14.263,0
2020-01-02T14:00:00Z,14.263,14.263,14.263,14.263,0
2020-01-02T14:30:00Z,14.263,14.263,14.263,14.263,0
2020-01-02T15:30:00Z,14.284,14.488999999,14.284,14.349,44100
2020-01-02T16:30:00Z,14.3675,14.376,14.344,14.344,14010
2020-01-02T17:30:00Z,14.334,14.334,14.278,14.291,20620
2020-01-02T18:30:00Z,14.285,14.326,14.272,14.326,25980
2020-01-02T19:30:00Z,14.35,14.366999999,14.343,14.366999999,34920
2020-01-02T20:30:00Z,14.421,14.431,14.401,14.422999999,33490
2020-01-02T21:00:00Z,14.4215,14.4405,14.372,14.431,98170
2020-01-02T22:00:00Z,14.4309,14.431,14.37664,14.37664,5040
2020-01-02T23:00:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T00:00:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T01:00:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T10:00:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T11:00:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T12:00:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T13:00:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T14:00:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T14:30:00Z,14.37664,14.37664,14.37664,14.37664,0
2020-01-03T15:30:00Z,14.302,14.4425,14.302,14.413,13810
2020-01-03T16:30:00Z,14.391999999,14.425,14.28,14.34,52830
2020-01-03T17:30:00Z,14.3565,14.432,14.31,14.432,29280
2020-01-03T18:30:00Z,14.388999999,14.402,14.3275,14.354,84900
2020-01-03T19:30:00Z,14.344,14.488999999,14.281,14.356,85110
2020-01-03T20:30:00Z,14.374,14.409,14.322999999,14.3675,84370
2020-01-03T21:00:00Z,14.354,14.365,14.322999999,14.357,212200
2020-01-03T22:00:00Z,14.357,14.357,14.35614,14.357,22730
2020-01-03T23:00:00Z,14.357,14.357,14.357,14.357,0
2020-01-04T00:00:00Z,14.357,14.357,14.357,14.357,0
2020-01-04T01:00:00Z,14.357,14.357,14.357,14.357,0
2020-01-06T10:00:00Z,14.357,14.357,14.357,14.357,0
2020-01-06T11:00:00Z,14.357,14.357,14.357,14.357,0
2020-01-06T12:00:00Z,14.357,14.357,14.357,14.357,0
2020-01-06T13:00:00Z,14.357,14.357,14.357,14.357,0
2020-01-06T14:00:00Z,14.357,14.357,14.357,14.357,200
2020-01-06T14:30:00Z,14.357,14.357,14.357,14.357,0
2020-01-06T15:30:00Z,14.325,14.546,14.325,14.419999999,39050
