datetime,open,high,low,close,volume
2020-01-01T00:00:00Z,7165.72,7238.14,7136.05,7174.33,3350.63004888
2020-01-02T00:00:00Z,7174.33,7186.18,6903.0,6945.02,8010.92738748
2020-01-03T00:00:00Z,6945.02,7401.2,6854.67,7334.45,14056.39238489
2020-01-04T00:00:00Z,7334.45,7398.0,7263.32,7348.63,4742.46620989
2020-01-05T00:00:00Z,7348.63,7488.87,7312.22,7355.4,5942.01494574
2020-01-06T00:00:00Z,7355.4,7805.0,7343.17,7764.63,11770.42968139
2020-01-07T00:00:00Z,7764.63,8216.0,7723.0,8158.52,19857.45754518
2020-01-08T00:00:00Z,8160.01,8469.39,7845.0,8045.51,23927.67532995
2020-01-09T00:00:00Z,8047.75,8048.67,7744.48,7813.78,9477.65983784
2020-01-10T00:00:00Z,7813.78,8199.77,7671.0,8198.09,13419.69851238
2020-01-11T00:00:00Z,8198.09,8290.0,8000.01,8020.0,7557.36879269
2020-01-12T00:00:00Z,8017.47,8185.0,7963.25,8180.81,3920.74009838
2020-01-13T00:00:00Z,8180.81,8195.81,8041.95,8104.5,6678.02840315
2020-01-14T00:00:00Z,8105.6,8893.69,8105.23,8815.69,27075.8082207
2020-01-15T00:00:00Z,8812.58,8900.0,8550.0,8808.81,14977.61979023
2020-01-16T00:00:00Z,8808.81,8850.0,8580.0,8714.76,9265.76423506
2020-01-17T00:00:00Z,8714.77,9013.0,8665.67,8899.42,15447.36512517
2020-01-18T00:00:00Z,8899.42,8980.0,8800.1,8909.32,5600.21827844
2020-01-19T00:00:00Z,8908.95,9194.99,8465.0,8697.53,15218.51476182
2020-01-20T00:00:00Z,8697.53,8734.84,8504.06,8628.89,5605.80561385
2020-01-21T00:00:00Z,8628.89,8774.31,8465.0,8722.03,7520.65103045
2020-01-22T00:00:00Z,8722.03,8791.76,8565.0,8660.38,5481.36960818
2020-01-23T00:00:00Z,8660.38,8665.0,8278.0,8385.22,12206.24491133
2020-01-24T00:00:00Z,8385.21,8509.99,8216.71,8427.26,8634.96792308
2020-01-25T00:00:00Z,8427.58,8437.76,8252.73,8326.81,3783.20831697
2020-01-26T00:00:00Z,8326.8,8595.0,8278.68,8595.0,5497.32293973
2020-01-27T00:00:00Z,8595.0,8985.0,8556.6,8895.96,9548.60475006
2020-01-28T00:00:00Z,8895.95,9418.91,8880.87,9394.5,17578.54006083
2020-01-29T00:00:00Z,9391.14,9439.83,9224.75,9288.44,12233.05063864
2020-01-30T00:00:00Z,9287.9,9574.68,9171.11,9503.08,12948.39766745
2020-01-31T00:00:00Z,9502.71,9522.5,9195.49,9334.98,9719.06131452
2020-02-01T00:00:00Z,9334.98,9458.08,9285.01,9380.18,4387.41986202
2020-02-02T00:00:00Z,9380.18,9480.0,9140.0,9323.5,7307.92291459
2020-02-03T00:00:00Z,9325.01,9619.95,9220.0,9280.49,11910.28572971
2020-02-04T00:00:00Z,9280.49,9350.0,9078.05,9164.33,8190.74898707
2020-02-05T00:00:00Z,9164.33,9769.7,9150.0,9613.82,13267.06193659
2020-02-06T00:00:00Z,9613.91,9857.0,9521.47,9763.01,12672.13678163
2020-02-07T00:00:00Z,9763.01,9885.0,9713.99,9808.05,8516.62840515
2020-02-08T00:00:00Z,9807.92,9955.0,9653.47,9905.64,8100.97112281
2020-02-09T00:00:00Z,9905.64,10178.91,9888.76,10168.35,9649.74938704
2020-02-10T00:00:00Z,10168.36,10199.0,9736.0,9851.78,13249.58715176
2020-02-11T00:00:00Z,9851.78,10400.0,9706.0,10270.01,16722.06581913
2020-02-12T00:00:00Z,10270.01,10483.86,10250.0,10351.13,13740.9848527
2020-02-13T00:00:00Z,10351.13,10522.51,10083.1,10236.49,17101.28534969
2020-02-14T00:00:00Z,10236.49,10395.66,10102.5,10371.33,8026.49620683
2020-02-15T00:00:00Z,10371.33,10400.0,9750.0,9911.22,12323.28859704
2020-02-16T00:00:00Z,9911.22,10048.34,9612.12,9921.0,9430.32887897
2020-02-17T00:00:00Z,9920.52,9969.38,9467.0,9700.0,10144.62802455
2020-02-18T00:00:00Z,9700.0,10298.25,9610.27,10188.04,11606.56132767
2020-02-19T00:00:00Z,10188.04,10315.0,9280.98,9600.08,16637.05014888
2020-02-20T00:00:00Z,9593.48,9698.1,9393.39,9610.05,12382.01006133
2020-02-21T00:00:00Z,9610.05,9769.66,9566.98,9695.66,7073.36617743
2020-02-22T00:00:00Z,9695.66,9722.97,9575.01,9668.23,3301.24362823
2020-02-23T00:00:00Z,9668.23,10025.66,9667.13,9965.01,5631.93728472
2020-02-24T00:00:00Z,9965.0,10030.0,9474.74,9660.0,11274.83220813
2020-02-25T00:00:00Z,9660.0,9681.56,9230.0,9305.0,9370.80406077
2020-02-26T00:00:00Z,9304.99,9375.36,8602.0,8778.3,21610.46289952
2020-02-27T00:00:00Z,8778.3,8972.92,8520.0,8812.49,14781.02020263
2020-02-28T00:00:00Z,8814.9,8899.94,8428.8,8708.89,13643.28590301
2020-02-29T00:00:00Z,8708.61,8799.0,8520.67,8525.07,5142.70830477
2020-03-01T00:00:00Z,8523.33,8752.34,8400.0,8522.31,7353.13960471
2020-03-02T00:00:00Z,8522.3,8973.45,8487.33,8915.0,10216.69254477
2020-03-03T00:00:00Z,8919.21,8927.45,8635.31,8757.84,9152.7069265
2020-03-04T00:00:00Z,8757.83,8847.0,8670.57,8760.66,5688.58509691
2020-03-05T00:00:00Z,8759.99,9174.24,8759.99,9070.17,10073.31421239
2020-03-06T00:00:00Z,9070.18,9182.08,9000.01,9158.51,6422.12885254
2020-03-07T00:00:00Z,9158.51,9214.67,8850.47,8901.37,6478.25334502
2020-03-08T00:00:00Z,8901.36,8901.37,8002.2,8037.76,16591.91410216
2020-03-09T00:00:00Z,8037.73,8187.03,7630.0,7934.52,25563.61417462
2020-03-10T00:00:00Z,7934.56,8158.25,7733.56,7894.68,17172.47130109
2020-03-11T00:00:00Z,7894.68,7987.97,7583.27,7938.05,13647.86513876
2020-03-12T00:00:00Z,7938.05,7969.45,4644.0,4857.1,113902.20332904
2020-03-13T00:00:00Z,4857.1,5995.0,3858.0,5637.6,130316.64684438
2020-03-14T00:00:00Z,5630.93,5669.0,5050.0,5165.25,32760.12278053
2020-03-15T00:00:00Z,5161.16,5985.0,5085.91,5345.35,43763.76236813
2020-03-16T00:00:00Z,5346.86,5350.3,4432.3,5037.61,80184.03685247
2020-03-17T00:00:00Z,5039.95,5569.44,4935.6,5331.71,44347.15487325
2020-03-18T00:00:00Z,5331.71,5452.82,5001.0,5413.64,37513.03523454
2020-03-19T00:00:00Z,5413.88,6441.37,5261.69,6186.26,54666.67461085
2020-03-20T00:00:00Z,6183.82,6990.0,5657.0,6206.1,53024.40103701
2020-03-21T00:00:00Z,6210.47,6470.0,5851.0,6198.78,23514.96653599
2020-03-22T00:00:00Z,6198.64,6420.0,5738.0,5818.25,28089.48698286
2020-03-23T00:00:00Z,5815.24,6641.03,5678.2,6490.63,42437.97070062
2020-03-24T00:00:00Z,6493.58,6866.1,6403.16,6766.64,40618.19870698
2020-03-25T00:00:00Z,6766.0,6983.31,6470.0,6690.96,31266.36827545
2020-03-26T00:00:00Z,6691.71,6795.0,6520.13,6758.18,17456.11705058
2020-03-27T00:00:00Z,6760.0,6880.0,6260.0,6372.36,20458.24402051
2020-03-28T00:00:00Z,6372.36,6372.36,6030.0,6251.82,20353.8748456
2020-03-29T00:00:00Z,6251.45,6279.96,5870.46,5877.21,16111.23637843
2020-03-30T00:00:00Z,5878.98,6631.23,5853.0,6406.4,23659.80264153
2020-03-31T00:00:00Z,6406.4,6524.79,6333.91,6424.35,11939.0253308
2020-04-01T00:00:00Z,6424.02,6744.99,6160.0,6666.11,17900.2508585
