datetime,open,high,low,close,volume
2020-01-02T05:00:00Z,14.284,14.488999999,14.272,14.431,276330
2020-01-03T05:00:00Z,14.302,14.488999999,14.28,14.357,585230
2020-01-06T05:00:00Z,14.325,14.546,14.325,14.425,327420
2020-01-07T05:00:00Z,14.4,14.537,14.324,14.387,348680
2020-01-08T05:00:00Z,14.394999999,14.547,14.207499999,14.371,395140
2020-01-09T05:00:00Z,14.444999999,14.532,14.291,14.35,642490
2020-01-10T05:00:00Z,14.413999999,14.516,14.2145,14.238999999,410880
2020-01-13T05:00:00Z,14.252,14.5305,14.252,14.459,489870
2020-01-14T05:00:00Z,14.469,14.568,14.407,14.477,468320
2020-01-15T05:00:00Z,14.483,14.705,14.483,14.627,534800
2020-01-16T05:00:00Z,14.712,14.796,14.608,14.672,357490
2020-01-17T05:00:00Z,14.747,14.747,14.622,14.674,335560
2020-01-21T05:00:00Z,14.629,14.757,14.513,14.594999999,532800
2020-01-22T05:00:00Z,14.694,14.734,14.563999999,14.591999999,458330
2020-01-23T05:00:00Z,14.577,14.666,14.547999999,14.574,455130
2020-01-24T05:00:00Z,14.613999999,14.674,14.278,14.316,392570
2020-01-27T05:00:00Z,14.152,14.3788,14.125,14.253,517410
2020-01-28T05:00:00Z,14.302,14.454,14.13,14.4,607810
2020-01-29T05:00:00Z,15.7,16.5,15.231,15.26,2546830
2020-01-30T05:00:00Z,15.341,15.71,15.13373,15.269999999,1047950
2020-01-31T05:00:00Z,15.263999999,15.476499999,15.151,15.203,1010880
2020-02-03T05:00:00Z,15.244999999,15.6085,14.901,14.947999999,1018250
2020-02-04T05:00:00Z,15.063,15.254,15.046,15.181,871070
2020-02-05T05:00:00Z,15.283,15.331,15.084,15.284,960780
2020-02-06T05:00:00Z,15.276,15.385499999,15.194999999,15.224,561070
2020-02-07T05:00:00Z,15.129,15.357,15.119999999,15.266,745980
2020-02-10T05:00:00Z,15.306,15.357,15.112,15.144999999,285230
2020-02-11T05:00:00Z,15.169999999,15.3335,15.1215,15.21,480290
2020-02-12T05:00:00Z,15.244,15.354,14.944999999,14.984,542780
