window,exec_interval,signal_interval,signal_mode,signal_ma_period,freeze_days,freeze_bars,freeze_basis,raw_flips,regime_flips,trades,return,max_dd,excess_vs_bh
1h_exec_2y,1h,1d,exec_close_vs_signal_ma,40,5,120,execution,229,47,47,0.17674962494317614,-0.34764597143546716,0.0017756591845927705
1h_exec_2y,1h,1d,long_close_signal,40,7,7,signal,51,33,33,0.2377161420206264,-0.23689349798449755,0.06288506692028117
1h_exec_2y,1h,1d,exec_close_vs_signal_ma,40,7,168,execution,229,35,35,0.44136963755324365,-0.3209420895418653,0.2663956717946603
1h_exec_2y,1h,1d,long_close_signal,40,10,10,signal,51,33,33,-0.03942165849738133,-0.3847156108709223,-0.21425273359772656
1h_exec_2y,1h,1d,exec_close_vs_signal_ma,40,10,240,execution,229,35,35,0.03162517735672421,-0.4476283035078704,-0.14334878840185916
1h_exec_2y,1h,1d,long_close_signal,40,15,15,signal,51,27,27,0.028520402756731844,-0.32059204988894363,-0.1463106723436134
1h_exec_2y,1h,1d,exec_close_vs_signal_ma,40,15,360,execution,229,27,27,0.2566348905350886,-0.2965587889928122,0.08166092477650522
1h_exec_2y,1h,1d,long_close_signal,40,20,20,signal,51,21,21,0.41212993803053966,-0.3152887528392969,0.23729886293019442
1h_exec_2y,1h,1d,exec_close_vs_signal_ma,40,20,480,execution,229,21,21,0.6411451963279877,-0.29872968589202775,0.46617123056940435
1h_exec_3y,1h,1h,long_close_signal,960,0,0,signal,355,355,355,1.6772866374721547,-0.40397353456742324,-1.9391405820189727
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,0,0,execution,353,353,353,1.6811356041379093,-0.4030461579922133,-1.9386421903201483
1h_exec_3y,1h,1h,long_close_signal,960,1,24,signal,355,139,139,2.820191763228884,-0.330728244223794,-0.7962354562622433
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,1,24,execution,353,139,139,2.8155952343688004,-0.33072824422379377,-0.8041825600892571
1h_exec_3y,1h,1h,long_close_signal,960,2,48,signal,355,109,109,2.728825170733336,-0.3578268369025628,-0.8876020487577914
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,2,48,execution,353,109,109,2.728825170733336,-0.3578268369025628,-0.8909526237247216
1h_exec_3y,1h,1h,long_close_signal,960,3,72,signal,355,97,97,2.1413896259709286,-0.40978737309432645,-1.4750375935201987
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,3,72,execution,353,97,97,2.1413896259709286,-0.40978737309432645,-1.478388168487129
1h_exec_3y,1h,1h,long_close_signal,960,5,120,signal,355,75,75,2.432687887643275,-0.30668866654542504,-1.1837393318478524
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,5,120,execution,353,75,75,2.473096410574549,-0.30668866654542526,-1.1466813838835086
1h_exec_3y,1h,1h,long_close_signal,960,7,168,signal,355,59,59,2.8304663426214396,-0.2981927666046418,-0.7859608768696877
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,7,168,execution,353,59,59,2.8304663426214396,-0.2981927666046418,-0.789311451836618
1h_exec_3y,1h,1h,long_close_signal,960,10,240,signal,355,55,55,1.9379014023816028,-0.4064571513032167,-1.6785258171095245
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,10,240,execution,353,55,55,1.9379014023816028,-0.4064571513032167,-1.6818763920764548
1h_exec_3y,1h,1h,long_close_signal,960,15,360,signal,355,45,45,1.8176964304316954,-0.2966919459114863,-1.798730789059432
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,15,360,execution,353,45,45,1.8176964304316954,-0.2966919459114863,-1.8020813640263622
1h_exec_3y,1h,1h,long_close_signal,960,20,480,signal,355,37,37,2.4015952876767725,-0.30301345309049543,-1.2148319318143548
1h_exec_3y,1h,1h,exec_close_vs_signal_ma,960,20,480,execution,353,37,37,2.4015952876767725,-0.30301345309049543,-1.218182506781285
1h_exec_3y,1h,4h,long_close_signal,240,0,0,signal,183,183,183,1.9660974831029012,-0.3815012923476432,-1.650329736388226
