window,group,min_hold,param_name,param_value,return,max_dd,trades,buy_hold
2y,baseline,12,none,0.0,0.8481767861992151,-0.29681783787195504,83,0.8051540155758361
2y,baseline,18,none,0.0,0.7163783042766481,-0.3409229641894099,75,0.8051540155758361
2y,baseline,24,none,0.0,0.6973681546142745,-0.37299794655649987,69,0.8051540155758361
2y,exit_confirm,12,exit_confirm_bars,1.0,0.8481767861992151,-0.29681783787195504,83,0.8051540155758361
2y,exit_confirm,18,exit_confirm_bars,1.0,0.7163783042766481,-0.3409229641894099,75,0.8051540155758361
2y,exit_confirm,24,exit_confirm_bars,1.0,0.6973681546142745,-0.37299794655649987,69,0.8051540155758361
2y,exit_confirm,12,exit_confirm_bars,2.0,0.7394480825416399,-0.35394727470973697,69,0.8051540155758361
2y,exit_confirm,18,exit_confirm_bars,2.0,0.7407173383869161,-0.36731780178145124,67,0.8051540155758361
2y,exit_confirm,24,exit_confirm_bars,2.0,0.5189984930089868,-0.43440467108435654,63,0.8051540155758361
2y,exit_confirm,12,exit_confirm_bars,3.0,0.7312702440995045,-0.33660251109767103,67,0.8051540155758361
2y,exit_confirm,18,exit_confirm_bars,3.0,0.6505496400026238,-0.3766100195913764,63,0.8051540155758361
2y,exit_confirm,24,exit_confirm_bars,3.0,0.5282868781121954,-0.434794428874942,57,0.8051540155758361
2y,exit_confirm,12,exit_confirm_bars,5.0,0.7807844886188797,-0.31872500732640785,59,0.8051540155758361
2y,exit_confirm,18,exit_confirm_bars,5.0,0.7625451496710767,-0.3528241941932885,55,0.8051540155758361
2y,exit_confirm,24,exit_confirm_bars,5.0,0.7445166584469081,-0.3648939832572805,49,0.8051540155758361
2y,exit_buffer,12,exit_buffer_pct,0.005,0.6374965440665359,-0.35366945372892145,73,0.8051540155758361
2y,exit_buffer,18,exit_buffer_pct,0.005,0.5746514510167415,-0.37945180568661485,69,0.8051540155758361
2y,exit_buffer,24,exit_buffer_pct,0.005,0.6201507153110899,-0.37524819187098113,63,0.8051540155758361
2y,exit_buffer,12,exit_buffer_pct,0.01,0.5534353053991938,-0.39930075578957913,63,0.8051540155758361
2y,exit_buffer,18,exit_buffer_pct,0.01,0.5463948804715566,-0.42104318346108227,59,0.8051540155758361
2y,exit_buffer,24,exit_buffer_pct,0.01,0.5880297178763585,-0.4166025038037088,51,0.8051540155758361
2y,exit_buffer,12,exit_buffer_pct,0.015,0.5433318627912367,-0.38066763329880304,55,0.8051540155758361
2y,exit_buffer,18,exit_buffer_pct,0.015,0.5203645104639145,-0.4092903956044308,53,0.8051540155758361
2y,exit_buffer,24,exit_buffer_pct,0.015,0.6344484685516392,-0.39953056427941314,45,0.8051540155758361
2y,exit_buffer,12,exit_buffer_pct,0.02,0.5652655796426687,-0.38231897783294344,49,0.8051540155758361
2y,exit_buffer,18,exit_buffer_pct,0.02,0.6585871881059602,-0.40080283686480545,45,0.8051540155758361
2y,exit_buffer,24,exit_buffer_pct,0.02,0.6401280396125137,-0.40747156642601423,41,0.8051540155758361
2y,entry_confirm,18,entry_confirm_bars,1.0,0.7311610317725152,-0.34092296418941026,77,0.8051540155758361
2y,entry_confirm,24,entry_confirm_bars,1.0,0.7119871525515613,-0.37299794655649954,71,0.8051540155758361
2y,entry_confirm,18,entry_confirm_bars,2.0,0.7267615880599407,-0.3287514326168689,73,0.8051540155758361
2y,entry_confirm,24,entry_confirm_bars,2.0,0.5821079536127975,-0.3826602499676406,65,0.8051540155758361
2y,entry_confirm,18,entry_confirm_bars,3.0,0.612146422305915,-0.3245042434596871,67,0.8051540155758361
2y,entry_confirm,24,entry_confirm_bars,3.0,0.6813298768241671,-0.30119915369985073,59,0.8051540155758361
2y,symmetric_confirm,12,confirm_bars,1.0,0.8640946603220121,-0.2968178378719548,85,0.8051540155758361
2y,symmetric_confirm,18,confirm_bars,1.0,0.7311610317725152,-0.34092296418941026,77,0.8051540155758361
2y,symmetric_confirm,24,confirm_bars,1.0,0.7119871525515613,-0.37299794655649954,71,0.8051540155758361
2y,symmetric_confirm,12,confirm_bars,2.0,0.8750887631746087,-0.31140997283853,65,0.8051540155758361
2y,symmetric_confirm,18,confirm_bars,2.0,0.7488402069960134,-0.34587210136124413,63,0.8051540155758361
2y,symmetric_confirm,24,confirm_bars,2.0,0.5961142930694796,-0.3869400023366958,57,0.8051540155758361
2y,symmetric_confirm,12,confirm_bars,3.0,0.7141936101838566,-0.31839158379995147,57,0.8051540155758361
2y,symmetric_confirm,18,confirm_bars,3.0,0.6594962588529263,-0.34254737431818494,53,0.8051540155758361
2y,symmetric_confirm,24,confirm_bars,3.0,0.6700814660045029,-0.3336818294438736,51,0.8051540155758361
3y,baseline,12,none,0.0,3.1477262463900644,-0.29681783787195504,109,3.6176013181843745
3y,baseline,18,none,0.0,2.7938414093634854,-0.34092296418941026,99,3.6176013181843745
3y,baseline,24,none,0.0,2.793352461508407,-0.3729979465565002,91,3.6176013181843745
3y,exit_confirm,12,exit_confirm_bars,1.0,3.1477262463900644,-0.29681783787195504,109,3.6176013181843745
3y,exit_confirm,18,exit_confirm_bars,1.0,2.7938414093634854,-0.34092296418941026,99,3.6176013181843745
3y,exit_confirm,24,exit_confirm_bars,1.0,2.793352461508407,-0.3729979465565002,91,3.6176013181843745
3y,exit_confirm,12,exit_confirm_bars,2.0,2.989388871312676,-0.35394727470973764,85,3.6176013181843745
3y,exit_confirm,18,exit_confirm_bars,2.0,2.9378982768541686,-0.36731780178145146,83,3.6176013181843745
3y,exit_confirm,24,exit_confirm_bars,2.0,2.4686642357779465,-0.43440467108435676,79,3.6176013181843745
3y,exit_confirm,12,exit_confirm_bars,3.0,2.941589371154107,-0.3366025110976707,83,3.6176013181843745
3y,exit_confirm,18,exit_confirm_bars,3.0,2.728068155452727,-0.37661001959137586,79,3.6176013181843745
3y,exit_confirm,24,exit_confirm_bars,3.0,2.4831223677838263,-0.4347944288749417,73,3.6176013181843745
3y,exit_confirm,12,exit_confirm_bars,5.0,3.068667062171259,-0.31872500732640796,75,3.6176013181843745
3y,exit_confirm,18,exit_confirm_bars,5.0,3.0048784732395504,-0.35282419419328825,71,3.6176013181843745
3y,exit_confirm,24,exit_confirm_bars,5.0,3.0197006792893033,-0.36489398325728006,65,3.6176013181843745
3y,exit_buffer,12,exit_buffer_pct,0.005,2.8232214843277847,-0.35366945372892167,89,3.6176013181843745
3y,exit_buffer,18,exit_buffer_pct,0.005,2.6236557680099923,-0.3794518056866152,85,3.6176013181843745
3y,exit_buffer,24,exit_buffer_pct,0.005,2.758643028792679,-0.3752481918709807,79,3.6176013181843745
3y,exit_buffer,12,exit_buffer_pct,0.01,2.658951816243438,-0.3993007557895788,77,3.6176013181843745
3y,exit_buffer,18,exit_buffer_pct,0.01,2.590024013571118,-0.4210431834610828,73,3.6176013181843745
3y,exit_buffer,24,exit_buffer_pct,0.01,2.7166249925589865,-0.41660250380370867,65,3.6176013181843745
3y,exit_buffer,12,exit_buffer_pct,0.015,2.5220533155694294,-0.38066763329880304,69,3.6176013181843745
3y,exit_buffer,18,exit_buffer_pct,0.015,2.419776770742811,-0.4092903956044307,67,3.6176013181843745
3y,exit_buffer,24,exit_buffer_pct,0.015,2.706247641772117,-0.39953056427941314,59,3.6176013181843745
