window,signal_interval,exec_interval,signal_mode,freeze_days,freeze_bars,freeze_basis,return,max_dd,trades
2y,4h,1d,long_close_signal,7,42,signal,0.791639295172198,-0.30056328268784094,43
2y,4h,1d,exec_close_vs_signal_ma,7,7,execution,0.636898946942186,-0.22810186403482258,39
2y,1d,1h,long_close_signal,0,0,signal,0.8103060985919524,-0.2493237718621525,61
2y,1d,1h,exec_close_vs_signal_ma,0,0,execution,0.28365225414913264,-0.3861892099657793,265
2y,1d,1h,long_close_signal,2,2,signal,0.6456891532071025,-0.2855825697618425,57
2y,1d,1h,exec_close_vs_signal_ma,2,48,execution,0.6046900286727377,-0.32728936976284184,81
2y,1d,1h,long_close_signal,4,4,signal,0.6608242663464956,-0.3033143897443408,45
2y,1d,1h,exec_close_vs_signal_ma,4,96,execution,0.6083177711746539,-0.32093229315475325,61
2y,1d,1h,long_close_signal,5,5,signal,0.5145824596794486,-0.2861278640247711,45
2y,1d,1h,exec_close_vs_signal_ma,5,120,execution,0.5085362077878735,-0.34764597143546705,55
2y,1d,1h,long_close_signal,7,7,signal,0.4165748416123951,-0.3184635026455953,41
2y,1d,1h,exec_close_vs_signal_ma,7,168,execution,0.569392920230821,-0.3209420895418653,43
2y,1d,4h,long_close_signal,0,0,signal,0.8103060985919524,-0.24825530392271755,61
2y,1d,4h,exec_close_vs_signal_ma,0,0,execution,0.41245764267218377,-0.36077178586726466,135
2y,1d,4h,long_close_signal,2,2,signal,0.6456891532071025,-0.284471965344788,57
2y,1d,4h,exec_close_vs_signal_ma,2,12,execution,0.4935267869350142,-0.35048727841776417,75
2y,1d,4h,long_close_signal,4,4,signal,0.6608242663464956,-0.3027083092291232,45
2y,1d,4h,exec_close_vs_signal_ma,4,24,execution,0.5330550021425904,-0.3349098486874347,55
2y,1d,4h,long_close_signal,5,5,signal,0.5145824596794486,-0.2816447401685416,45
2y,1d,4h,exec_close_vs_signal_ma,5,30,execution,0.4476696420958155,-0.3263013370273843,51
2y,1d,4h,long_close_signal,7,7,signal,0.4165748416123951,-0.3141834469098346,41
2y,1d,4h,exec_close_vs_signal_ma,7,42,execution,0.42154662678306587,-0.3283993086358966,43
2y,1d,1d,long_close_signal,0,0,signal,0.8075599552046098,-0.23148505954152265,61
2y,1d,1d,exec_close_vs_signal_ma,0,0,execution,0.8720497574961956,-0.22836565297889388,57
2y,1d,1d,long_close_signal,2,2,signal,0.64319272545424,-0.27573863222644013,57
2y,1d,1d,exec_close_vs_signal_ma,2,2,execution,0.8815890674471158,-0.24969632630661942,51
2y,1d,1d,long_close_signal,4,4,signal,0.6583048793875097,-0.30218741192656706,45
2y,1d,1d,exec_close_vs_signal_ma,4,4,execution,0.87252678709575,-0.2239224501862357,41
2y,1d,1d,long_close_signal,5,5,signal,0.5122849141928214,-0.2805599271125383,45
2y,1d,1d,exec_close_vs_signal_ma,5,5,execution,0.7304489543591044,-0.22901128380599378,41
2y,1d,1d,long_close_signal,7,7,signal,0.414425968757691,-0.30648635914917566,41
2y,1d,1d,exec_close_vs_signal_ma,7,7,execution,0.6728073433752375,-0.22810186403482258,39
3y,1h,1h,long_close_signal,0,0,signal,1.677967553382457,-0.40397353456742324,355
3y,1h,1h,exec_close_vs_signal_ma,0,0,execution,1.6818174989582038,-0.4030461579922133,353
3y,1h,1h,long_close_signal,2,48,signal,2.7297735250671424,-0.3578268369025628,109
3y,1h,1h,exec_close_vs_signal_ma,2,48,execution,2.7297735250671424,-0.3578268369025628,109
3y,1h,1h,long_close_signal,4,96,signal,2.6081552867100344,-0.32434083286747795,81
3y,1h,1h,exec_close_vs_signal_ma,4,96,execution,2.6081552867100344,-0.32434083286747795,81
3y,1h,1h,long_close_signal,5,120,signal,2.4335609252049184,-0.30668866654542504,75
3y,1h,1h,exec_close_vs_signal_ma,5,120,execution,2.473979725259975,-0.30668866654542526,75
3y,1h,1h,long_close_signal,7,168,signal,2.831440547415227,-0.2981927666046418,59
3y,1h,1h,exec_close_vs_signal_ma,7,168,execution,2.831440547415227,-0.2981927666046418,59
3y,1h,4h,long_close_signal,0,0,signal,1.9819387965141848,-0.36833463877437933,183
3y,1h,4h,exec_close_vs_signal_ma,0,0,execution,1.9883972754444232,-0.36784523224072274,185
3y,1h,4h,long_close_signal,2,48,signal,2.51245121736392,-0.39197017636469156,109
3y,1h,4h,exec_close_vs_signal_ma,2,12,execution,2.706143935544794,-0.34544632863750435,97
3y,1h,4h,long_close_signal,4,96,signal,2.274814023319252,-0.34851821720942067,81
3y,1h,4h,exec_close_vs_signal_ma,4,24,execution,2.44498348796098,-0.33608061772463094,71
3y,1h,4h,long_close_signal,5,120,signal,2.11333652804234,-0.31724230312559343,75
3y,1h,4h,exec_close_vs_signal_ma,5,30,execution,2.334944537106582,-0.32165400798050414,65
3y,1h,4h,long_close_signal,7,168,signal,2.471863776271791,-0.3059471363043733,59
3y,1h,4h,exec_close_vs_signal_ma,7,42,execution,2.148115274674172,-0.3283993086358966,57
3y,1h,1d,long_close_signal,0,0,signal,3.374101697868057,-0.22836565297889377,77
3y,1h,1d,exec_close_vs_signal_ma,0,0,execution,3.5005406594039625,-0.22843263946814907,77
3y,1h,1d,long_close_signal,2,48,signal,2.666584146835265,-0.3417177580986367,109
3y,1h,1d,exec_close_vs_signal_ma,2,2,execution,3.4365523998362244,-0.24969632630661942,69
3y,1h,1d,long_close_signal,4,96,signal,2.0131895119031866,-0.3105138319356011,81
3y,1h,1d,exec_close_vs_signal_ma,4,4,execution,3.1271607646717694,-0.23698445900208998,55
3y,1h,1d,long_close_signal,5,120,signal,2.0306166062878543,-0.2818867080902496,75
3y,1h,1d,exec_close_vs_signal_ma,5,5,execution,2.8006335152702433,-0.2512506207386307,55
3y,1h,1d,long_close_signal,7,168,signal,2.9124454750754745,-0.30056328268784094,59
3y,1h,1d,exec_close_vs_signal_ma,7,7,execution,2.8640751545467706,-0.22810186403482302,51
3y,4h,1h,long_close_signal,0,0,signal,1.9668518524481504,-0.3815012923476432,183
3y,4h,1h,exec_close_vs_signal_ma,0,0,execution,1.6816706638165222,-0.4141771241452281,359
3y,4h,1h,long_close_signal,2,12,signal,2.8120990429691193,-0.3581998800533992,95
3y,4h,1h,exec_close_vs_signal_ma,2,48,execution,2.580914122808219,-0.3845587221563357,111
3y,4h,1h,long_close_signal,4,24,signal,2.4255791470746297,-0.3447756697397706,71
3y,4h,1h,exec_close_vs_signal_ma,4,96,execution,2.5107410209013965,-0.3286603223018304,81
3y,4h,1h,long_close_signal,5,30,signal,2.316160005667977,-0.3332958701095592,65
3y,4h,1h,exec_close_vs_signal_ma,5,120,execution,2.515718523165618,-0.29835874411601704,75
3y,4h,1h,long_close_signal,7,42,signal,2.1303830846207887,-0.3396838593829238,57
3y,4h,1h,exec_close_vs_signal_ma,7,168,execution,2.734500673167191,-0.2981927666046418,61
3y,4h,4h,long_close_signal,0,0,signal,1.9668518524481504,-0.37284804045691833,183
3y,4h,4h,exec_close_vs_signal_ma,0,0,execution,1.9791322560469768,-0.36740075716939047,187
3y,4h,4h,long_close_signal,2,12,signal,2.8120990429691193,-0.34681914206780184,95
3y,4h,4h,exec_close_vs_signal_ma,2,12,execution,2.7885063703893147,-0.34585345101459974,97
3y,4h,4h,long_close_signal,4,24,signal,2.4255791470746297,-0.33608061772463116,71
3y,4h,4h,exec_close_vs_signal_ma,4,24,execution,2.44498348796098,-0.33608061772463094,71
3y,4h,4h,long_close_signal,5,30,signal,2.316160005667977,-0.3216540079805039,65
3y,4h,4h,exec_close_vs_signal_ma,5,30,execution,2.334944537106582,-0.32165400798050414,65
3y,4h,4h,long_close_signal,7,42,signal,2.1303830846207887,-0.32839930863589684,57
3y,4h,4h,exec_close_vs_signal_ma,7,42,execution,2.148115274674172,-0.3283993086358966,57
3y,4h,1d,long_close_signal,0,0,signal,3.252233780895997,-0.23185575611819897,79
3y,4h,1d,exec_close_vs_signal_ma,0,0,execution,3.5005406594039625,-0.22843263946814907,77
3y,4h,1d,long_close_signal,2,12,signal,3.231340453531021,-0.31957178651687645,95
3y,4h,1d,exec_close_vs_signal_ma,2,2,execution,3.4365523998362244,-0.24969632630661942,69
3y,4h,1d,long_close_signal,4,24,signal,2.2569389963254873,-0.3105138319356011,71
3y,4h,1d,exec_close_vs_signal_ma,4,4,execution,3.1271607646717694,-0.23698445900208998,55
3y,4h,1d,long_close_signal,5,30,signal,2.4579392555243693,-0.2674540374260065,65
3y,4h,1d,exec_close_vs_signal_ma,5,5,execution,2.8006335152702433,-0.2512506207386307,55
3y,4h,1d,long_close_signal,7,42,signal,3.1312109894515814,-0.30056328268784105,57
3y,4h,1d,exec_close_vs_signal_ma,7,7,execution,2.8640751545467706,-0.22810186403482302,51
3y,1d,1h,long_close_signal,0,0,signal,3.305175002054094,-0.24932377186215215,79
3y,1d,1h,exec_close_vs_signal_ma,0,0,execution,1.7990217609645072,-0.38618920996578043,351
3y,1d,1h,long_close_signal,2,2,signal,2.905759157015232,-0.2855825697618424,73
3y,1d,1h,exec_close_vs_signal_ma,2,48,execution,3.056025598047815,-0.3272893697628423,105
3y,1d,1h,long_close_signal,4,4,signal,2.739205380751588,-0.3033143897443408,59
3y,1d,1h,exec_close_vs_signal_ma,4,96,execution,2.863882037807514,-0.32093229315475325,81
3y,1d,1h,long_close_signal,5,5,signal,2.7776102203668436,-0.28612786402477086,57
3y,1d,1h,exec_close_vs_signal_ma,5,120,execution,2.3868616979540955,-0.34764597143546716,75
3y,1d,1h,long_close_signal,7,7,signal,2.461223118257435,-0.31846350264559486,53
3y,1d,1h,exec_close_vs_signal_ma,7,168,execution,2.613573924023384,-0.3209420895418652,59
3y,1d,4h,long_close_signal,0,0,signal,3.305175002054094,-0.24825530392271733,79
3y,1d,4h,exec_close_vs_signal_ma,0,0,execution,2.06046496669786,-0.3607717858672639,189
3y,1d,4h,long_close_signal,2,2,signal,2.905759157015232,-0.284471965344788,73
3y,1d,4h,exec_close_vs_signal_ma,2,12,execution,2.7458447686603162,-0.35048727841776417,97
3y,1d,4h,long_close_signal,4,4,signal,2.739205380751588,-0.30270830922912306,59
3y,1d,4h,exec_close_vs_signal_ma,4,24,execution,2.657060867335596,-0.3349098486874349,71
3y,1d,4h,long_close_signal,5,5,signal,2.7776102203668436,-0.28164474016854146,57
3y,1d,4h,exec_close_vs_signal_ma,5,30,execution,2.2975711462737904,-0.3263013370273845,67
3y,1d,4h,long_close_signal,7,7,signal,2.461223118257435,-0.31418344690983424,53
3y,1d,4h,exec_close_vs_signal_ma,7,42,execution,2.211404732685219,-0.32839930863589695,57
3y,1d,1d,long_close_signal,0,0,signal,3.2986442679023176,-0.2314850595415222,79
3y,1d,1d,exec_close_vs_signal_ma,0,0,execution,3.6311914416643534,-0.2283656529788941,75
3y,1d,1d,long_close_signal,2,2,signal,2.899834316630541,-0.27573863222644013,73
3y,1d,1d,exec_close_vs_signal_ma,2,2,execution,3.628848072678803,-0.2496963263066193,69
3y,1d,1d,long_close_signal,4,4,signal,2.733533194076498,-0.30218741192656695,59
3y,1d,1d,exec_close_vs_signal_ma,4,4,execution,3.373175636789422,-0.2239224501862357,55
